filename,width,height,class,xmin,ymin,xmax,ymax
pic_099.jpg,259,194,cabbage,28,44,134,163
pic_099.jpg,259,194,cabbage,111,26,236,170
pic_054.jpg,194,259,cabbage,15,14,175,242
pic_006.jpg,120,125,cabbage,1,3,120,120
pic_124.jpg,266,189,cabbage,22,45,89,107
pic_124.jpg,266,189,cabbage,131,46,210,112
pic_025.jpg,224,224,cabbage,56,30,161,118
pic_123.jpg,294,171,cabbage,49,93,147,169
pic_123.jpg,294,171,cabbage,152,96,249,170
pic_123.jpg,294,171,cabbage,54,15,137,77
pic_123.jpg,294,171,cabbage,147,14,234,71
pic_123.jpg,294,171,cabbage,237,16,294,80
pic_123.jpg,294,171,cabbage,238,86,294,160
pic_040.jpg,276,182,cabbage,93,38,222,166
pic_137.jpg,258,195,cabbage,99,71,228,184
pic_060.jpg,259,194,cabbage,102,19,248,187
pic_060.jpg,259,194,cabbage,27,19,149,181
pic_075.jpg,259,194,cabbage,81,46,160,124
pic_047.jpg,259,194,cabbage,46,1,220,170
pic_048.jpg,259,194,cabbage,11,25,112,138
pic_048.jpg,259,194,cabbage,86,57,176,151
pic_048.jpg,259,194,cabbage,113,18,217,96
pic_048.jpg,259,194,cabbage,169,67,259,139
pic_083.jpg,259,194,cabbage,33,90,161,185
pic_083.jpg,259,194,cabbage,63,5,238,153
pic_108.jpg,259,194,cabbage,62,52,186,160
pic_024.jpg,272,181,cabbage,78,21,185,96
pic_024.jpg,272,181,cabbage,176,79,248,154
pic_087.jpg,259,194,cabbage,62,17,211,184
pic_022.jpg,240,180,cabbage,124,111,232,180
pic_022.jpg,240,180,cabbage,57,78,144,166
pic_022.jpg,240,180,cabbage,130,36,213,116
pic_022.jpg,240,180,cabbage,1,1,92,106
pic_035.jpg,276,182,cabbage,92,50,214,162
pic_134.jpg,384,131,cabbage,243,29,348,126
pic_134.jpg,384,131,cabbage,161,24,244,94
pic_020.jpg,200,200,cabbage,13,12,199,191
pic_018.jpg,136,180,cabbage,70,69,117,128
pic_018.jpg,136,180,cabbage,16,46,59,96
pic_018.jpg,136,180,cabbage,59,124,108,180
pic_018.jpg,136,180,cabbage,30,80,70,130
pic_144.jpg,305,165,cabbage,76,35,234,142
pic_058.jpg,259,194,cabbage,41,13,236,193
pic_114.jpg,259,194,cabbage,81,52,190,140
pic_014.jpg,220,165,cabbage,73,40,158,127
pic_081.jpg,259,194,cabbage,66,54,169,154
pic_138.jpg,258,195,cabbage,46,19,215,188
pic_019.jpg,200,200,cabbage,11,23,107,172
pic_019.jpg,200,200,cabbage,118,28,183,197
pic_071.jpg,259,194,cabbage,46,141,115,185
pic_071.jpg,259,194,cabbage,128,105,191,143
pic_071.jpg,259,194,cabbage,28,63,74,97
pic_071.jpg,259,194,cabbage,116,61,156,91
pic_030.jpg,389,129,cabbage,46,21,143,104
pic_030.jpg,389,129,cabbage,135,1,231,100
pic_030.jpg,389,129,cabbage,194,41,306,126
pic_001.jpg,225,225,cabbage,1,17,224,201
pic_026.jpg,224,224,cabbage,25,36,196,207
pic_021.jpg,200,200,cabbage,68,65,132,132
pic_113.jpg,194,259,cabbage,37,108,186,247
pic_130.jpg,207,243,cabbage,10,87,160,233
pic_130.jpg,207,243,cabbage,47,14,199,149
pic_121.jpg,266,189,cabbage,54,30,206,157
pic_104.jpg,259,194,cabbage,73,90,181,168
pic_034.jpg,279,180,cabbage,26,19,217,154
pic_073.jpg,259,194,cabbage,62,31,194,149
pic_102.jpg,259,194,cabbage,75,118,126,172
pic_102.jpg,259,194,cabbage,114,135,185,194
pic_102.jpg,259,194,cabbage,1,134,80,194
pic_102.jpg,259,194,cabbage,116,87,161,134
pic_106.jpg,259,194,cabbage,78,53,170,143
pic_005.jpg,225,225,cabbage,16,56,214,182
